2024-02-01 09:07:33 [INFO] omnivault/transformer/core/callbacks.py log_on_fit_start L63: Initial learning rate: 2.2961808030073203e-05
2024-02-01 09:07:33 [INFO] omnivault/transformer/core/callbacks.py log_on_fit_start_model_summary L120: Total Parameters: 270226, Trainable Parameters: 270226
2024-02-01 09:07:33 [INFO] omnivault/transformer/core/callbacks.py log_on_train_epoch_start L68: ====================================================== Starting Train Epoch: 1/30 ======================================================
2024-02-01 09:07:36 [INFO] omnivault/transformer/core/callbacks.py log_on_epoch_end L109: Total Samples:                   7000
2024-02-01 09:07:36 [INFO] omnivault/transformer/core/callbacks.py log_on_epoch_end L110: Total Batches:                   28
2024-02-01 09:07:36 [INFO] omnivault/transformer/core/callbacks.py log_on_epoch_end L111: Average Epoch Train Loss:        2.42055
2024-02-01 09:07:36 [INFO] omnivault/transformer/core/callbacks.py log_on_epoch_end L112: Average Epoch Train Perplexity:  11.25200
2024-02-01 09:07:36 [INFO] omnivault/transformer/core/callbacks.py log_on_epoch_end L113:

2024-02-01 09:07:36 [INFO] omnivault/transformer/core/callbacks.py log_on_train_epoch_start L68: ====================================================== Starting Valid Epoch: 1/30 ======================================================
2024-02-01 09:07:37 [INFO] omnivault/transformer/core/callbacks.py save_state L53: Saved checkpoint at epoch 1 to ./data/adder/checkpoints/2024-02-01_09-07-30/model_checkpoint_epoch_1.pt
2024-02-01 09:07:37 [INFO] omnivault/transformer/core/callbacks.py log_on_epoch_end L109: Total Samples:                   2000
2024-02-01 09:07:37 [INFO] omnivault/transformer/core/callbacks.py log_on_epoch_end L110: Total Batches:                   8
2024-02-01 09:07:37 [INFO] omnivault/transformer/core/callbacks.py log_on_epoch_end L111: Average Epoch Valid Loss:        1.72208
2024-02-01 09:07:37 [INFO] omnivault/transformer/core/callbacks.py log_on_epoch_end L112: Average Epoch Valid Perplexity:  5.59614
2024-02-01 09:07:37 [INFO] omnivault/transformer/core/callbacks.py log_on_epoch_end L113:

2024-02-01 09:07:38 [INFO] omnivault/transformer/projects/adder/main.py evaluate_and_generate_on_valid_epoch_end L153: Correct/Total Samples:           0/1000
2024-02-01 09:07:38 [INFO] omnivault/transformer/projects/adder/main.py evaluate_and_generate_on_valid_epoch_end L154: Eval Accuracy:                   0.0
2024-02-01 09:07:38 [INFO] omnivault/transformer/projects/adder/main.py evaluate_and_generate_on_valid_epoch_end L157:
 epoch  batch_index  sample_index  equation generated  correct
     1            1             0 13+48=061  13+48=07    False
     1            1             1 16+55=071  16+55=07    False
     1            1             2 79+34=113  79+34=07    False
     1            1             3 35+44=079  35+44=07    False
     1            1             4 16+50=066  16+50=07    False
     1            1             5 28+47=075  28+47=07    False
     1            1             6 00+74=074  00+74=07    False
     1            1             7 15+20=035  15+20=07    False
     1            1             8 72+60=132  72+60=07    False
     1            1             9 63+68=131  63+68=07    False
     1            1            10 29+45=074  29+45=07    False
     1            1            11 34+60=094  34+60=07    False
     1            1            12 53+70=123  53+70=07    False
     1            1            13 70+50=120  70+50=07    False
     1            1            14 11+84=095  11+84=07    False
     1            1            15 42+71=113  42+71=07    False
     1            1            16 98+22=120  98+22=07    False
     1            1            17 02+02=004  02+02=07    False
     1            1            18 15+85=100  15+85=07    False
     1            1            19 21+78=099  21+78=07    False
     1            1            20 61+79=140  61+79=07    False
     1            1            21 25+99=124  25+99=07    False
     1            1            22 09+85=094  09+85=07    False
     1            1            23 60+91=151  60+91=07    False
     1            1            24 35+30=065  35+30=07    False
     1            1            25 24+51=075  24+51=07    False
     1            1            26 93+91=184  93+91=07    False
     1            1            27 39+96=135  39+96=07    False
     1            1            28 64+35=099  64+35=07    False
     1            1            29 36+22=058  36+22=07    False
     1            1            30 68+45=113  68+45=07    False
     1            1            31 16+84=100  16+84=07    False
     1            1            32 91+52=143  91+52=07    False
     1            1            33 97+36=133  97+36=07    False
     1            1            34 27+37=064  27+37=07    False
     1            1            35 99+82=181  99+82=07    False
     1            1            36 03+42=045  03+42=07    False
     1            1            37 18+38=056  18+38=07    False
     1            1            38 32+20=052  32+20=07    False
     1            1            39 38+13=051  38+13=07    False
     1            1            40 68+42=110  68+42=07    False
     1            1            41 64+00=064  64+00=07    False
     1            1            42 48+94=142  48+94=07    False
     1            1            43 58+36=094  58+36=07    False
     1            1            44 41+22=063  41+22=07    False
     1            1            45 23+58=081  23+58=07    False
     1            1            46 67+46=113  67+46=07    False
     1            1            47 40+78=118  40+78=07    False
     1            1            48 90+38=128  90+38=07    False
     1            1            49 89+52=141  89+52=07    False
     1            1            50 37+77=114  37+77=07    False
     1            1            51 29+76=105  29+76=07    False
     1            1            52 42+90=132  42+90=07    False
     1            1            53 45+82=127  45+82=07    False
     1            1            54 35+95=130  35+95=07    False
     1            1            55 92+98=190  92+98=07    False
     1            1            56 73+91=164  73+91=07    False
     1            1            57 53+97=150  53+97=07    False
